Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2022 12:00 AM;Jan 1, 2022 1:00 AM;43,915.50;46,522.50;2,607.00;12,367.75
Jan 1, 2022 1:00 AM;Jan 1, 2022 2:00 AM;41,535.75;44,199.25;2,663.50;11,440.25
Jan 1, 2022 2:00 AM;Jan 1, 2022 3:00 AM;40,480.75;43,404.25;2,923.50;11,761.25
Jan 1, 2022 3:00 AM;Jan 1, 2022 4:00 AM;39,564.00;42,891.75;3,327.75;12,086.75
Jan 1, 2022 4:00 AM;Jan 1, 2022 5:00 AM;39,338.25;42,900.00;3,561.75;13,142.75
Jan 1, 2022 5:00 AM;Jan 1, 2022 6:00 AM;38,826.50;41,725.25;2,898.75;14,718.00
Jan 1, 2022 6:00 AM;Jan 1, 2022 7:00 AM;38,413.00;40,750.25;2,337.25;14,621.75
Jan 1, 2022 7:00 AM;Jan 1, 2022 8:00 AM;39,076.25;40,990.00;1,913.75;16,178.75
Jan 1, 2022 8:00 AM;Jan 1, 2022 9:00 AM;40,299.25;42,011.00;1,711.75;19,211.50
Jan 1, 2022 9:00 AM;Jan 1, 2022 10:00 AM;42,510.00;43,996.25;1,486.25;20,777.25
Jan 1, 2022 10:00 AM;Jan 1, 2022 11:00 AM;44,382.00;45,663.00;1,281.00;22,193.50
Jan 1, 2022 11:00 AM;Jan 1, 2022 12:00 PM;46,732.00;48,234.25;1,502.25;24,170.75
Jan 1, 2022 12:00 PM;Jan 1, 2022 1:00 PM;47,313.75;48,002.75;689.00;24,483.00
Jan 1, 2022 1:00 PM;Jan 1, 2022 2:00 PM;46,391.25;47,322.50;931.25;25,283.25
Jan 1, 2022 2:00 PM;Jan 1, 2022 3:00 PM;45,728.50;46,345.25;616.75;27,053.25
Jan 1, 2022 3:00 PM;Jan 1, 2022 4:00 PM;45,683.00;45,978.75;295.75;29,167.00
Jan 1, 2022 4:00 PM;Jan 1, 2022 5:00 PM;47,903.75;47,962.25;58.50;30,988.75
Jan 1, 2022 5:00 PM;Jan 1, 2022 6:00 PM;51,620.50;51,706.75;86.25;32,554.50
