Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2019 12:00 AM;Jan 1, 2019 1:00 AM;4,739.50;1,554.25;3,134.00;20,314.25;0.00;134.75;9,001.50;6,335.00;2,811.75;3,273.25;275.50;1,724.25
Jan 1, 2019 1:00 AM;Jan 1, 2019 2:00 AM;4,737.25;1,550.75;2,868.25;22,297.25;0.00;133.50;8,535.25;5,379.50;2,404.25;2,967.25;62.50;1,682.25
Jan 1, 2019 2:00 AM;Jan 1, 2019 3:00 AM;4,694.00;1,510.00;2,460.25;23,168.50;0.00;137.75;7,954.00;5,341.00;2,228.50;2,720.25;150.75;1,625.25
Jan 1, 2019 3:00 AM;Jan 1, 2019 4:00 AM;4,669.75;1,494.25;2,696.50;24,471.75;0.00;139.50;7,221.75;5,270.75;2,356.75;2,653.25;41.00;1,615.25
Jan 1, 2019 4:00 AM;Jan 1, 2019 5:00 AM;4,681.75;1,457.00;2,578.00;26,320.50;0.00;139.50;7,120.00;5,178.75;2,308.50;2,706.00;3.50;1,621.50
Jan 1, 2019 5:00 AM;Jan 1, 2019 6:00 AM;4,678.00;1,384.50;2,377.25;27,898.00;0.00;136.25;7,060.75;5,076.50;2,311.25;2,720.00;2.00;1,627.25
Jan 1, 2019 6:00 AM;Jan 1, 2019 7:00 AM;4,693.00;1,415.75;1,930.00;29,688.75;0.00;134.50;7,035.25;5,072.25;2,158.75;2,714.25;17.75;1,624.00
Jan 1, 2019 7:00 AM;Jan 1, 2019 8:00 AM;4,708.00;1,431.75;2,045.00;30,381.00;0.00;132.00;7,173.00;5,038.25;2,182.25;2,819.50;33.50;1,618.75
Jan 1, 2019 8:00 AM;Jan 1, 2019 9:00 AM;4,739.00;1,444.75;2,203.75;30,959.25;84.00;130.25;7,155.50;4,918.75;2,267.50;2,858.00;34.25;1,608.00
Jan 1, 2019 9:00 AM;Jan 1, 2019 10:00 AM;4,735.25;1,481.50;2,075.50;30,886.00;578.00;129.50;6,990.00;4,928.25;2,642.25;2,864.50;34.00;1,619.25
Jan 1, 2019 10:00 AM;Jan 1, 2019 11:00 AM;4,784.00;1,533.75;2,159.00;31,688.25;1,335.25;128.75;6,639.75;4,949.00;2,696.50;2,883.25;49.25;1,618.25
Jan 1, 2019 11:00 AM;Jan 1, 2019 12:00 PM;4,763.25;1,572.00;2,723.50;33,018.75;1,992.00;129.25;6,708.50;4,918.75;2,761.25;2,971.75;54.00;1,619.50
Jan 1, 2019 12:00 PM;Jan 1, 2019 1:00 PM;4,756.25;1,598.50;2,521.25;33,574.00;2,175.25;130.50;6,954.25;4,946.25;2,808.75;2,957.50;50.75;1,620.75
Jan 1, 2019 1:00 PM;Jan 1, 2019 2:00 PM;4,731.25;1,571.00;2,287.00;34,294.50;1,925.75;131.00;6,952.75;4,953.75;2,811.50;2,874.75;232.50;1,619.25
Jan 1, 2019 2:00 PM;Jan 1, 2019 3:00 PM;4,717.25;1,605.00;2,247.50;34,762.50;1,206.75;129.75;7,016.50;4,960.75;2,811.75;2,877.25;245.75;1,621.25
Jan 1, 2019 3:00 PM;Jan 1, 2019 4:00 PM;4,696.00;1,559.00;2,124.25;34,710.00;397.50;127.50;7,270.50;5,017.50;2,832.25;2,882.75;1,672.50;1,617.75
Jan 1, 2019 4:00 PM;Jan 1, 2019 5:00 PM;4,716.00;1,558.75;2,219.25;35,736.00;18.50;127.50;7,506.25;4,950.75;2,742.00;2,941.75;3,358.25;1,616.25
Jan 1, 2019 5:00 PM;Jan 1, 2019 6:00 PM;4,719.25;1,444.50;2,270.00;36,256.00;0.00;127.00;7,654.25;4,972.25;2,756.75;2,935.50;3,526.75;1,616.25
Jan 1, 2019 6:00 PM;Jan 1, 2019 7:00 PM;4,738.50;1,430.00;2,209.25;36,397.25;0.00;127.00;7,499.00;4,899.00;2,737.00;2,874.50;3,064.50;1,624.50
