Start date;End date;Net export [MWh] Calculated resolutions;Netherlands (export) [MWh] Calculated resolutions;Netherlands (import) [MWh] Calculated resolutions;Switzerland (export) [MWh] Calculated resolutions;Switzerland (import) [MWh] Calculated resolutions;Denmark (export) [MWh] Calculated resolutions;Denmark (import) [MWh] Calculated resolutions;Czech Republic (export) [MWh] Calculated resolutions;Czech Republic (import) [MWh] Calculated resolutions;Luxembourg (export) [MWh] Calculated resolutions;Luxembourg (import) [MWh] Calculated resolutions;Sweden (export) [MWh] Calculated resolutions;Sweden (import) [MWh] Calculated resolutions;Austria (export) [MWh] Calculated resolutions;Austria (import) [MWh] Calculated resolutions;France (export) [MWh] Calculated resolutions;France (import) [MWh] Calculated resolutions;Poland (export) [MWh] Calculated resolutions;Poland (import) [MWh] Calculated resolutions;Norway (export) [MWh] Calculated resolutions;Norway (import) [MWh] Calculated resolutions;Belgium (export) [MWh] Calculated resolutions;Belgium (import) [MWh] Calculated resolutions
Jan 1, 2025 12:00 AM;Jan 1, 2025 1:00 AM;10,171.74;1,225.64;-2,374.51;3,019.25;0.00;194.75;-42.25;1,559.75;-188.00;250.83;0.00;506.00;0.00;2,834.32;-22.48;0.00;-915.02;2,032.00;0.00;1,094.25;0.00;997.21;0.00
Jan 1, 2025 1:00 AM;Jan 1, 2025 2:00 AM;11,474.96;1,084.56;-2,236.43;3,414.25;0.00;960.25;0.00;1,745.00;-194.25;236.35;0.00;506.00;0.00;2,951.75;-134.49;0.00;-930.91;2,199.25;0.00;1,107.00;0.00;766.63;0.00
Jan 1, 2025 2:00 AM;Jan 1, 2025 3:00 AM;10,101.22;1,345.66;-2,487.55;3,402.25;0.00;99.00;-180.75;1,814.50;-207.00;169.29;0.00;506.00;0.00;3,278.77;-281.31;0.00;-906.09;2,226.00;0.00;830.50;0.00;491.95;0.00
Jan 1, 2025 3:00 AM;Jan 1, 2025 4:00 AM;9,012.83;979.93;-2,429.19;3,594.75;0.00;78.75;-395.25;1,841.50;-171.25;202.89;0.00;506.00;0.00;3,480.86;-381.93;0.00;-1,112.06;2,153.25;0.00;795.25;0.00;0.00;-130.67
Jan 1, 2025 4:00 AM;Jan 1, 2025 5:00 AM;7,382.81;807.11;-2,634.52;3,368.75;0.00;65.75;-691.75;1,871.75;-126.25;124.66;0.00;506.00;0.00;3,310.71;-319.73;0.00;-1,209.07;2,175.25;0.00;420.50;0.00;0.00;-286.34
Jan 1, 2025 5:00 AM;Jan 1, 2025 6:00 AM;7,079.64;892.17;-2,387.13;3,208.50;0.00;44.50;-578.50;1,619.00;-108.50;152.59;0.00;506.00;0.00;3,307.60;-393.36;0.00;-1,475.37;2,087.75;0.00;458.25;0.00;0.00;-253.86
Jan 1, 2025 6:00 AM;Jan 1, 2025 7:00 AM;9,165.62;1,102.79;-2,087.44;3,322.50;0.00;63.50;-186.25;1,804.25;-59.50;138.86;0.00;506.00;0.00;3,524.72;-388.78;0.00;-1,684.11;2,258.75;0.00;1,005.00;0.00;0.00;-154.68
Jan 1, 2025 7:00 AM;Jan 1, 2025 8:00 AM;11,226.76;1,228.11;-2,117.96;3,502.50;0.00;1,086.00;0.00;1,607.25;-92.00;142.88;0.00;506.00;0.00;3,328.54;-253.16;0.00;-1,508.03;1,926.50;0.00;1,117.00;0.00;753.13;0.00
Jan 1, 2025 8:00 AM;Jan 1, 2025 9:00 AM;11,360.17;1,496.83;-1,422.13;3,372.00;0.00;189.00;-95.75;1,631.75;-63.25;196.53;0.00;506.00;0.00;3,211.93;-219.39;0.00;-1,387.13;2,022.75;0.00;1,120.00;0.00;801.03;0.00
Jan 1, 2025 9:00 AM;Jan 1, 2025 10:00 AM;10,322.76;1,249.50;-1,506.90;3,078.75;0.00;433.50;-262.50;1,641.00;-2.00;139.86;0.00;506.00;0.00;3,149.57;-154.67;0.00;-1,899.56;1,998.25;0.00;1,121.00;0.00;830.96;0.00
