Start date;End date;Germany/Luxembourg [€/MWh] Calculated resolutions;∅ DE/LU neighbours [€/MWh] Calculated resolutions;Belgium [€/MWh] Calculated resolutions;Denmark 1 [€/MWh] Calculated resolutions;Denmark 2 [€/MWh] Calculated resolutions;France [€/MWh] Calculated resolutions;Netherlands [€/MWh] Calculated resolutions;Norway 2 [€/MWh] Calculated resolutions;Austria [€/MWh] Calculated resolutions;Poland [€/MWh] Calculated resolutions;Sweden 4 [€/MWh] Calculated resolutions;Switzerland [€/MWh] Calculated resolutions;Czech Republic [€/MWh] Calculated resolutions;DE/AT/LU [€/MWh] Calculated resolutions;Northern Italy [€/MWh] Calculated resolutions;Slovenia [€/MWh] Calculated resolutions;Hungary [€/MWh] Calculated resolutions
Jan 1, 2019 12:00 AM;Jan 1, 2019 1:00 AM;28.32;-;69.49;28.32;28.32;51.00;68.92;48.77;33.48;-;28.32;50.26;8.50;-;51.00;51.00;59.90
Jan 1, 2019 1:00 AM;Jan 1, 2019 2:00 AM;10.07;-;66.58;10.07;10.07;46.27;64.98;49.25;39.76;-;10.07;48.74;3.97;-;46.27;46.27;52.71
Jan 1, 2019 2:00 AM;Jan 1, 2019 3:00 AM;-4.08;-;65.07;-4.08;-4.08;39.78;60.27;49.17;39.78;-;10.03;47.24;4.70;-;39.78;39.78;36.49
Jan 1, 2019 3:00 AM;Jan 1, 2019 4:00 AM;-9.91;-;52.17;-9.91;-9.91;27.87;49.97;48.37;27.87;-;4.56;36.29;0.93;-;27.87;27.87;31.24
Jan 1, 2019 4:00 AM;Jan 1, 2019 5:00 AM;-7.41;-;47.66;-7.41;-7.41;23.21;47.66;47.19;-0.36;-;4.83;30.09;3.90;-;22.00;-0.36;25.98
Jan 1, 2019 5:00 AM;Jan 1, 2019 6:00 AM;-12.55;-;50.87;-12.55;-12.55;22.64;48.00;47.37;-4.45;-;8.09;27.31;7.95;-;20.00;-4.45;26.69
Jan 1, 2019 6:00 AM;Jan 1, 2019 7:00 AM;-17.25;-;52.88;-17.25;-17.25;20.90;49.75;48.16;-8.99;-;25.54;28.53;11.70;-;20.90;-8.99;27.99
Jan 1, 2019 7:00 AM;Jan 1, 2019 8:00 AM;-15.07;-;61.78;-15.07;-15.07;26.54;55.12;49.09;-6.05;-;39.16;26.84;5.01;-;26.54;-6.05;28.49
Jan 1, 2019 8:00 AM;Jan 1, 2019 9:00 AM;-4.93;-;50.08;-4.93;-4.93;25.00;44.80;47.63;1.53;-;37.66;28.70;1.01;-;25.00;1.53;33.98
Jan 1, 2019 9:00 AM;Jan 1, 2019 10:00 AM;-6.33;-;50.27;-6.33;-6.33;25.00;49.58;47.99;0.41;-;21.52;35.70;0.11;-;25.00;0.41;41.24
Jan 1, 2019 10:00 AM;Jan 1, 2019 11:00 AM;-4.93;-;66.36;-4.93;-4.93;34.64;55.44;49.20;14.34;-;28.25;37.53;14.80;-;34.64;14.34;41.00
Jan 1, 2019 11:00 AM;Jan 1, 2019 12:00 PM;0.45;-;75.08;0.45;0.45;41.03;62.62;49.39;9.20;-;19.29;38.36;15.50;-;41.03;41.03;45.16
Jan 1, 2019 12:00 PM;Jan 1, 2019 1:00 PM;0.12;-;90.66;0.12;0.12;48.97;57.40;49.20;10.68;-;19.32;43.95;16.50;-;48.97;48.97;44.07
Jan 1, 2019 1:00 PM;Jan 1, 2019 2:00 PM;-0.02;-;75.71;-0.02;-0.02;41.06;50.76;49.13;8.85;-;16.21;43.07;16.00;-;41.06;41.06;41.16
Jan 1, 2019 2:00 PM;Jan 1, 2019 3:00 PM;0.00;-;68.30;0.00;0.00;37.95;49.92;48.33;20.49;-;21.47;38.82;19.53;-;37.95;37.95;42.83
Jan 1, 2019 3:00 PM;Jan 1, 2019 4:00 PM;-0.03;-;61.83;-0.03;-0.03;33.42;50.05;48.45;18.78;-;32.69;48.02;5.00;-;53.59;53.59;54.91
Jan 1, 2019 4:00 PM;Jan 1, 2019 5:00 PM;1.97;-;72.12;1.97;1.97;39.80;50.60;48.98;21.75;-;29.34;48.93;20.00;-;58.65;58.65;72.02
Jan 1, 2019 5:00 PM;Jan 1, 2019 6:00 PM;9.06;-;62.58;9.06;9.06;44.29;60.72;49.45;40.10;-;30.19;50.99;16.74;-;64.64;64.64;73.80
Jan 1, 2019 6:00 PM;Jan 1, 2019 7:00 PM;0.07;-;56.94;0.07;0.07;62.65;50.51;48.89;40.00;-;30.09;52.79;22.14;-;65.00;65.00;72.02
Jan 1, 2019 7:00 PM;Jan 1, 2019 8:00 PM;-4.97;-;57.89;-4.97;-4.97;65.56;47.35;48.91;25.07;-;29.58;55.17;23.27;-;65.56;65.56;70.63
Jan 1, 2019 8:00 PM;Jan 1, 2019 9:00 PM;-6.98;-;51.30;-6.98;-6.98;61.27;50.40;49.31;32.63;-;36.91;55.05;23.00;-;64.23;64.23;68.38
Jan 1, 2019 9:00 PM;Jan 1, 2019 10:00 PM;-24.93;-;51.89;-16.01;-16.01;57.41;47.53;49.10;0.02;-;33.14;50.70;20.00;-;61.72;61.72;53.12
Jan 1, 2019 10:00 PM;Jan 1, 2019 11:00 PM;-4.87;-;60.88;-4.87;-4.87;58.65;51.06;49.42;1.76;-;21.61;55.12;18.00;-;58.65;58.65;36.86
Jan 1, 2019 11:00 PM;Jan 2, 2019 12:00 AM;-28.93;-;60.74;-28.93;-28.93;54.91;47.55;49.12;-4.95;-;4.04;55.11;-0.99;-;54.91;54.91;23.95
Jan 2, 2019 12:00 AM;Jan 2, 2019 1:00 AM;-33.57;-;65.96;-33.57;-33.57;53.11;49.00;49.16;-4.98;-;9.70;49.97;1.00;-;53.11;53.11;23.99
Jan 2, 2019 1:00 AM;Jan 2, 2019 2:00 AM;-45.92;-;57.90;-45.92;-45.92;45.87;46.60;48.14;-16.40;-;6.32;48.66;-2.00;-;45.87;45.87;17.16
Jan 2, 2019 2:00 AM;Jan 2, 2019 3:00 AM;-48.29;-;56.48;-48.29;-48.29;39.15;46.60;48.14;-16.45;-;4.35;41.56;-3.48;-;39.15;19.20;15.39
Jan 2, 2019 3:00 AM;Jan 2, 2019 4:00 AM;-44.99;-;46.68;-33.60;-33.60;25.84;45.73;47.24;-16.49;-;8.81;43.07;-7.00;-;36.00;1.30;7.92
Jan 2, 2019 4:00 AM;Jan 2, 2019 5:00 AM;-48.93;-;50.80;-33.54;-33.54;28.36;46.01;47.53;-16.45;-;22.67;38.60;-7.85;-;39.00;0.01;8.91
