Start date;End date;grid load [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2019 12:00 AM;Jan 1, 2019 1:00 AM;43,213.25;19,264.50
Jan 1, 2019 1:00 AM;Jan 1, 2019 2:00 AM;41,275.75;15,607.00
Jan 1, 2019 2:00 AM;Jan 1, 2019 3:00 AM;40,187.50;12,803.50
Jan 1, 2019 3:00 AM;Jan 1, 2019 4:00 AM;39,909.00;10,898.75
Jan 1, 2019 4:00 AM;Jan 1, 2019 5:00 AM;40,258.00;9,898.75
Jan 1, 2019 5:00 AM;Jan 1, 2019 6:00 AM;40,549.00;9,139.75
Jan 1, 2019 6:00 AM;Jan 1, 2019 7:00 AM;40,440.25;7,505.50
Jan 1, 2019 7:00 AM;Jan 1, 2019 8:00 AM;42,743.50;9,005.25
Jan 1, 2019 8:00 AM;Jan 1, 2019 9:00 AM;45,861.00;11,607.00
Jan 1, 2019 9:00 AM;Jan 1, 2019 10:00 AM;48,792.00;13,360.25
Jan 1, 2019 10:00 AM;Jan 1, 2019 11:00 AM;50,845.50;13,999.75
Jan 1, 2019 11:00 AM;Jan 1, 2019 12:00 PM;53,114.25;15,129.25
Jan 1, 2019 12:00 PM;Jan 1, 2019 1:00 PM;52,910.75;14,482.75
Jan 1, 2019 1:00 PM;Jan 1, 2019 2:00 PM;50,752.50;12,076.00
Jan 1, 2019 2:00 PM;Jan 1, 2019 3:00 PM;49,311.00;10,721.50
Jan 1, 2019 3:00 PM;Jan 1, 2019 4:00 PM;49,233.75;10,785.25
Jan 1, 2019 4:00 PM;Jan 1, 2019 5:00 PM;50,872.00;12,139.75
Jan 1, 2019 5:00 PM;Jan 1, 2019 6:00 PM;53,857.50;14,566.75
Jan 1, 2019 6:00 PM;Jan 1, 2019 7:00 PM;54,770.00;14,906.25
Jan 1, 2019 7:00 PM;Jan 1, 2019 8:00 PM;53,436.00;13,157.75
Jan 1, 2019 8:00 PM;Jan 1, 2019 9:00 PM;50,873.50;10,519.00
Jan 1, 2019 9:00 PM;Jan 1, 2019 10:00 PM;49,294.75;8,870.50
Jan 1, 2019 10:00 PM;Jan 1, 2019 11:00 PM;48,485.50;8,657.50
Jan 1, 2019 11:00 PM;Jan 2, 2019 12:00 AM;45,318.75;5,790.75
Jan 2, 2019 12:00 AM;Jan 2, 2019 1:00 AM;42,466.75;4,088.75
Jan 2, 2019 1:00 AM;Jan 2, 2019 2:00 AM;41,189.25;2,942.50
Jan 2, 2019 2:00 AM;Jan 2, 2019 3:00 AM;40,431.00;2,364.00
Jan 2, 2019 3:00 AM;Jan 2, 2019 4:00 AM;40,779.75;3,153.75
Jan 2, 2019 4:00 AM;Jan 2, 2019 5:00 AM;42,270.50;5,163.00
Jan 2, 2019 5:00 AM;Jan 2, 2019 6:00 AM;45,672.25;9,099.75
Jan 2, 2019 6:00 AM;Jan 2, 2019 7:00 AM;53,071.50;16,591.75
Jan 2, 2019 7:00 AM;Jan 2, 2019 8:00 AM;58,398.00;22,862.50
