Start date;End date;Total [MWh] Calculated resolutions;Photovoltaics and wind [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other [MWh] Calculated resolutions
Jan 1, 2025 12:00 AM;Jan 1, 2025 1:00 AM;56,329.73;42,231.75;3,759.50;38,472.25;0.00;14,097.98
Jan 1, 2025 1:00 AM;Jan 1, 2025 2:00 AM;55,762.59;42,726.25;3,795.00;38,931.25;0.00;13,036.34
Jan 1, 2025 2:00 AM;Jan 1, 2025 3:00 AM;55,383.39;43,215.00;3,826.00;39,389.00;0.00;12,168.39
Jan 1, 2025 3:00 AM;Jan 1, 2025 4:00 AM;53,579.01;42,684.50;3,337.00;39,347.50;0.00;10,894.51
Jan 1, 2025 4:00 AM;Jan 1, 2025 5:00 AM;53,365.55;42,895.25;3,213.75;39,681.50;0.00;10,470.30
Jan 1, 2025 5:00 AM;Jan 1, 2025 6:00 AM;53,517.44;43,265.75;3,071.00;40,194.75;0.00;10,251.69
Jan 1, 2025 6:00 AM;Jan 1, 2025 7:00 AM;54,815.07;44,463.75;2,973.00;41,490.75;0.00;10,351.32
Jan 1, 2025 7:00 AM;Jan 1, 2025 8:00 AM;57,105.84;44,401.50;2,878.25;41,523.25;0.00;12,704.34
Jan 1, 2025 8:00 AM;Jan 1, 2025 9:00 AM;59,169.03;45,185.25;2,724.25;41,637.50;823.50;13,983.78
Jan 1, 2025 9:00 AM;Jan 1, 2025 10:00 AM;63,272.12;49,270.00;2,578.75;41,961.75;4,729.50;14,002.12
Jan 1, 2025 10:00 AM;Jan 1, 2025 11:00 AM;67,028.55;53,784.75;2,526.00;42,128.75;9,130.00;13,243.80
Jan 1, 2025 11:00 AM;Jan 1, 2025 12:00 PM;68,627.34;57,238.75;2,503.75;42,324.25;12,410.75;11,388.59
Jan 1, 2025 12:00 PM;Jan 1, 2025 1:00 PM;70,262.05;58,695.50;2,577.25;42,716.50;13,401.75;11,566.55
Jan 1, 2025 1:00 PM;Jan 1, 2025 2:00 PM;68,420.13;57,990.75;2,787.00;43,604.50;11,599.25;10,429.38
Jan 1, 2025 2:00 PM;Jan 1, 2025 3:00 PM;66,517.13;55,186.25;3,262.25;44,152.75;7,771.25;11,330.88
Jan 1, 2025 3:00 PM;Jan 1, 2025 4:00 PM;64,961.34;51,914.75;3,859.00;44,829.25;3,226.50;13,046.59
Jan 1, 2025 4:00 PM;Jan 1, 2025 5:00 PM;63,575.28;49,271.50;3,829.50;45,197.50;244.50;14,303.78
Jan 1, 2025 5:00 PM;Jan 1, 2025 6:00 PM;67,363.44;50,033.50;4,330.00;45,703.50;0.00;17,329.94
Jan 1, 2025 6:00 PM;Jan 1, 2025 7:00 PM;68,614.03;50,155.00;4,193.75;45,961.25;0.00;18,459.03
Jan 1, 2025 7:00 PM;Jan 1, 2025 8:00 PM;68,813.26;49,576.25;4,050.75;45,525.50;0.00;19,237.01
Jan 1, 2025 8:00 PM;Jan 1, 2025 9:00 PM;65,900.50;48,564.25;3,925.50;44,638.75;0.00;17,336.25
Jan 1, 2025 9:00 PM;Jan 1, 2025 10:00 PM;64,473.98;47,010.00;3,945.50;43,064.50;0.00;17,463.98
Jan 1, 2025 10:00 PM;Jan 1, 2025 11:00 PM;62,249.14;44,461.00;4,054.75;40,406.25;0.00;17,788.14
Jan 1, 2025 11:00 PM;Jan 2, 2025 12:00 AM;59,781.87;42,779.00;4,214.00;38,565.00;0.00;17,002.87
Jan 2, 2025 12:00 AM;Jan 2, 2025 1:00 AM;59,801.17;44,774.75;4,959.50;39,815.25;0.00;15,026.43
Jan 2, 2025 1:00 AM;Jan 2, 2025 2:00 AM;57,559.82;43,066.00;5,066.75;37,999.25;0.00;14,493.82
Jan 2, 2025 2:00 AM;Jan 2, 2025 3:00 AM;56,205.53;41,369.00;5,197.50;36,171.50;0.00;14,836.53
Jan 2, 2025 3:00 AM;Jan 2, 2025 4:00 AM;54,756.18;39,124.00;5,290.00;33,834.00;0.00;15,632.18
Jan 2, 2025 4:00 AM;Jan 2, 2025 5:00 AM;53,917.00;36,766.50;5,403.00;31,363.50;0.00;17,150.50
Jan 2, 2025 5:00 AM;Jan 2, 2025 6:00 AM;53,661.80;34,316.50;5,507.50;28,809.00;0.00;19,345.30
Jan 2, 2025 6:00 AM;Jan 2, 2025 7:00 AM;56,761.28;32,047.25;5,572.00;26,475.25;0.00;24,714.03
Jan 2, 2025 7:00 AM;Jan 2, 2025 8:00 AM;59,276.97;29,465.50;5,609.75;23,855.75;0.00;29,811.47
Jan 2, 2025 8:00 AM;Jan 2, 2025 9:00 AM;59,840.29;27,445.00;5,616.00;21,546.00;283.00;32,395.29
Jan 2, 2025 9:00 AM;Jan 2, 2025 10:00 AM;58,504.96;26,886.50;5,462.25;19,285.25;2,139.00;31,618.46
Jan 2, 2025 10:00 AM;Jan 2, 2025 11:00 AM;57,878.32;27,068.50;5,268.50;17,036.50;4,763.50;30,809.82
Jan 2, 2025 11:00 AM;Jan 2, 2025 12:00 PM;56,743.95;27,108.50;5,208.00;15,229.50;6,671.00;29,635.45
Jan 2, 2025 12:00 PM;Jan 2, 2025 1:00 PM;55,837.01;26,717.50;5,203.50;14,449.50;7,064.50;29,119.51
Jan 2, 2025 1:00 PM;Jan 2, 2025 2:00 PM;54,934.70;25,695.50;5,216.75;14,393.50;6,085.25;29,239.20
Jan 2, 2025 2:00 PM;Jan 2, 2025 3:00 PM;53,486.18;23,254.00;5,309.00;14,004.75;3,940.25;30,232.18
Jan 2, 2025 3:00 PM;Jan 2, 2025 4:00 PM;51,641.62;20,397.00;5,423.50;13,585.50;1,388.00;31,244.62
Jan 2, 2025 4:00 PM;Jan 2, 2025 5:00 PM;52,880.03;19,727.50;5,597.75;14,047.00;82.75;33,152.53
Jan 2, 2025 5:00 PM;Jan 2, 2025 6:00 PM;56,025.22;21,070.25;5,767.00;15,303.25;0.00;34,954.97
Jan 2, 2025 6:00 PM;Jan 2, 2025 7:00 PM;57,904.77;22,526.00;5,845.75;16,680.25;0.00;35,378.77
Jan 2, 2025 7:00 PM;Jan 2, 2025 8:00 PM;58,344.73;23,509.50;5,870.00;17,639.50;0.00;34,835.23
Jan 2, 2025 8:00 PM;Jan 2, 2025 9:00 PM;56,208.77;24,233.50;5,895.25;18,338.25;0.00;31,975.28
Jan 2, 2025 9:00 PM;Jan 2, 2025 10:00 PM;54,650.00;24,584.00;5,860.75;18,723.25;0.00;30,066.00
Jan 2, 2025 10:00 PM;Jan 2, 2025 11:00 PM;53,066.30;24,705.50;5,843.75;18,861.75;0.00;28,360.80
Jan 2, 2025 11:00 PM;Jan 3, 2025 12:00 AM;50,429.46;25,014.50;5,846.50;19,168.00;0.00;25,414.96
Jan 3, 2025 12:00 AM;Jan 3, 2025 1:00 AM;47,572.40;24,408.25;5,639.75;18,768.50;0.00;23,164.15
Jan 3, 2025 1:00 AM;Jan 3, 2025 2:00 AM;46,939.30;24,742.00;5,713.00;19,029.00;0.00;22,197.30
Jan 3, 2025 2:00 AM;Jan 3, 2025 3:00 AM;47,424.19;25,446.50;5,802.00;19,644.50;0.00;21,977.69
Jan 3, 2025 3:00 AM;Jan 3, 2025 4:00 AM;47,676.99;26,523.75;5,719.50;20,804.25;0.00;21,153.24
Jan 3, 2025 4:00 AM;Jan 3, 2025 5:00 AM;49,826.45;28,068.25;5,462.50;22,605.75;0.00;21,758.20
Jan 3, 2025 5:00 AM;Jan 3, 2025 6:00 AM;52,876.33;29,921.50;5,035.25;24,886.25;0.00;22,954.83
Jan 3, 2025 6:00 AM;Jan 3, 2025 7:00 AM;58,577.13;32,683.75;4,751.50;27,932.25;0.00;25,893.38
Jan 3, 2025 7:00 AM;Jan 3, 2025 8:00 AM;64,545.73;34,465.00;4,652.25;29,812.75;0.00;30,080.73
Jan 3, 2025 8:00 AM;Jan 3, 2025 9:00 AM;67,409.05;36,580.50;4,746.50;31,506.25;327.75;30,828.55
Jan 3, 2025 9:00 AM;Jan 3, 2025 10:00 AM;68,316.08;40,029.50;4,968.50;32,656.75;2,404.25;28,286.58
Jan 3, 2025 10:00 AM;Jan 3, 2025 11:00 AM;69,295.83;43,887.50;5,133.75;33,437.00;5,316.75;25,408.33
Jan 3, 2025 11:00 AM;Jan 3, 2025 12:00 PM;70,053.75;46,620.00;5,250.25;34,018.00;7,351.75;23,433.75
Jan 3, 2025 12:00 PM;Jan 3, 2025 1:00 PM;69,681.86;47,304.75;5,355.00;34,118.25;7,831.50;22,377.11
Jan 3, 2025 1:00 PM;Jan 3, 2025 2:00 PM;67,948.29;45,676.50;5,395.50;33,412.25;6,868.75;22,271.79
Jan 3, 2025 2:00 PM;Jan 3, 2025 3:00 PM;66,595.49;41,395.25;5,418.50;31,363.50;4,613.25;25,200.24
Jan 3, 2025 3:00 PM;Jan 3, 2025 4:00 PM;65,424.99;36,460.00;5,445.00;29,198.75;1,816.25;28,964.99
Jan 3, 2025 4:00 PM;Jan 3, 2025 5:00 PM;64,970.31;33,223.25;5,479.25;27,601.00;143.00;31,747.06
Jan 3, 2025 5:00 PM;Jan 3, 2025 6:00 PM;65,988.30;31,695.75;5,479.75;26,216.00;0.00;34,292.55
Jan 3, 2025 6:00 PM;Jan 3, 2025 7:00 PM;65,807.02;30,424.50;5,484.50;24,940.00;0.00;35,382.52
Jan 3, 2025 7:00 PM;Jan 3, 2025 8:00 PM;63,392.13;29,562.75;5,549.00;24,013.75;0.00;33,829.38
Jan 3, 2025 8:00 PM;Jan 3, 2025 9:00 PM;59,667.34;28,988.00;5,534.00;23,454.00;0.00;30,679.34
Jan 3, 2025 9:00 PM;Jan 3, 2025 10:00 PM;57,110.97;28,108.00;5,422.00;22,686.00;0.00;29,002.97
Jan 3, 2025 10:00 PM;Jan 3, 2025 11:00 PM;54,495.94;26,861.50;5,256.75;21,604.75;0.00;27,634.44
Jan 3, 2025 11:00 PM;Jan 4, 2025 12:00 AM;51,996.48;25,699.50;5,043.75;20,655.75;0.00;26,296.98
Jan 4, 2025 12:00 AM;Jan 4, 2025 1:00 AM;48,087.17;24,633.00;3,913.00;20,720.00;0.00;23,454.17
Jan 4, 2025 1:00 AM;Jan 4, 2025 2:00 AM;45,211.17;22,209.50;3,468.75;18,740.75;0.00;23,001.67
Jan 4, 2025 2:00 AM;Jan 4, 2025 3:00 AM;42,699.91;19,686.50;3,008.00;16,678.50;0.00;23,013.41
Jan 4, 2025 3:00 AM;Jan 4, 2025 4:00 AM;40,743.74;17,267.00;2,537.75;14,729.25;0.00;23,476.74
Jan 4, 2025 4:00 AM;Jan 4, 2025 5:00 AM;39,716.75;14,900.75;2,101.25;12,799.50;0.00;24,816.00
Jan 4, 2025 5:00 AM;Jan 4, 2025 6:00 AM;38,040.14;12,527.75;1,789.25;10,738.50;0.00;25,512.39
Jan 4, 2025 6:00 AM;Jan 4, 2025 7:00 AM;38,106.39;10,662.25;1,626.75;9,035.50;0.00;27,444.14
Jan 4, 2025 7:00 AM;Jan 4, 2025 8:00 AM;38,901.59;9,588.00;1,632.00;7,956.00;0.00;29,313.59
Jan 4, 2025 8:00 AM;Jan 4, 2025 9:00 AM;41,459.14;9,860.75;1,807.00;7,561.50;492.25;31,598.39
Jan 4, 2025 9:00 AM;Jan 4, 2025 10:00 AM;44,324.29;12,503.50;2,133.00;7,412.75;2,957.75;31,820.79
Jan 4, 2025 10:00 AM;Jan 4, 2025 11:00 AM;46,415.19;15,582.75;2,558.50;7,221.50;5,802.75;30,832.44
