iter	Quantile:alpha=0.95
0	10.47607236
1	9.317518173
2	8.231401881
3	7.435479165
4	6.813758837
5	6.267600466
6	5.810296352
7	5.441903945
8	5.067017218
9	4.770690497
10	4.482714391
11	4.267469127
12	4.045328998
13	3.868017035
14	3.688715878
15	3.544507434
16	3.409452206
17	3.283132277
18	3.179083891
19	3.083660106
20	2.997052339
21	2.909782804
22	2.842689942
23	2.772246417
24	2.687618273
25	2.631498053
26	2.547331609
27	2.460260126
28	2.385968496
29	2.315599935
30	2.243777538
31	2.183706903
32	2.117396553
33	2.063169069
34	2.007438017
35	1.95855728
36	1.910877195
37	1.865450438
38	1.819104289
39	1.778485621
40	1.745381624
41	1.70830451
42	1.677076407
43	1.649046345
44	1.621150558
45	1.595490503
46	1.57236609
47	1.550557968
48	1.532590934
49	1.515915709
50	1.497451552
51	1.480732914
52	1.463897827
53	1.448510197
54	1.433543134
55	1.421656251
56	1.409966083
57	1.396536461
58	1.382171067
59	1.373548053
60	1.364038949
61	1.351218297
62	1.343751107
63	1.333907526
64	1.324013129
65	1.316437314
66	1.306511219
67	1.297752686
68	1.290270126
69	1.284394228
70	1.276470562
71	1.270047452
72	1.264605496
73	1.258817993
74	1.253502791
75	1.248309319
76	1.240423415
77	1.235893746
78	1.232139985
79	1.22657392
80	1.221119018
81	1.216004703
82	1.211381765
83	1.207403972
84	1.204352175
85	1.199462322
86	1.195950361
87	1.19207674
88	1.188414073
89	1.18612256
90	1.18159179
91	1.178637689
92	1.175309406
93	1.171079419
94	1.16569627
95	1.16222785
96	1.159471359
97	1.152898474
98	1.149878526
99	1.146592477
100	1.143653281
101	1.140448584
102	1.138462402
103	1.13600357
104	1.132205134
105	1.128793526
106	1.12616179
107	1.12321615
108	1.121309138
109	1.119769766
110	1.117896167
111	1.116363141
112	1.111879867
113	1.106434506
114	1.103678127
115	1.1009126
116	1.09926245
117	1.097845868
118	1.095208767
119	1.091702265
120	1.087600997
121	1.08382301
122	1.081753225
123	1.078860874
124	1.076365316
125	1.073574962
126	1.069416782
127	1.067404775
128	1.06640631
129	1.065135344
130	1.061825571
131	1.056473374
132	1.052830335
133	1.048216995
134	1.044291883
135	1.041732066
136	1.040438313
137	1.037838124
138	1.036748431
139	1.034993438
140	1.031999697
141	1.028881339
142	1.027456492
143	1.024480823
144	1.022291333
145	1.020183192
146	1.018720637
147	1.017012377
148	1.014297218
149	1.012795871
150	1.011755461
151	1.009455886
152	1.008310835
153	1.005363464
154	1.003101625
155	1.001754522
156	1.000705772
157	0.9993812749
158	0.9977511083
159	0.9960422757
160	0.9938470282
161	0.9924780146
162	0.9907333909
163	0.9894436114
164	0.9869046519
165	0.9846776556
166	0.9830514442
167	0.9809302269
168	0.9788188975
169	0.9777320877
170	0.9749175209
171	0.9734646227
172	0.9722386308
173	0.9711006015
174	0.9702120923
175	0.9679197845
176	0.9669465831
177	0.965737243
178	0.9641789427
179	0.9631573648
180	0.9601149452
181	0.9586612014
182	0.9577501206
183	0.9563359709
184	0.9549610768
185	0.9535983446
186	0.9522711601
187	0.950928122
188	0.9500656464
189	0.9484142717
190	0.9474918651
191	0.9467594636
192	0.9461192908
193	0.944941266
194	0.9435451482
195	0.9422948759
196	0.9411521381
197	0.9386709061
198	0.9373975322
199	0.9361465623
200	0.9355678339
201	0.9350481831
202	0.933407886
203	0.9321961629
204	0.9308682559
205	0.9297334884
206	0.9283404814
207	0.9272227208
208	0.9244767559
209	0.9238739035
210	0.921960873
211	0.9207090167
212	0.9186250476
213	0.9175535802
214	0.9168288865
215	0.9160493401
216	0.9153802935
217	0.913763278
218	0.91221948
219	0.9113518402
220	0.9096205319
221	0.9086808512
222	0.9075275416
223	0.9059314268
224	0.9047926964
225	0.9039195534
226	0.903005902
227	0.9026706182
228	0.9017159642
229	0.9010826577
230	0.9005453442
231	0.900101312
232	0.8989258012
233	0.8981208236
234	0.8972584686
235	0.8957415924
236	0.8948272355
237	0.8943095072
238	0.8936679673
239	0.8933195195
240	0.892499853
241	0.8916444215
242	0.8909754067
243	0.890175079
244	0.8893898078
245	0.8885729592
246	0.8874656259
247	0.8869756362
248	0.8850751121
249	0.8842911837
250	0.8836212626
251	0.8824778333
252	0.8818333314
253	0.8808168077
254	0.8796467768
255	0.8791071118
256	0.8785844219
257	0.8776023706
258	0.8765535995
259	0.8756944968
260	0.8748948447
261	0.8746540429
262	0.8733846433
263	0.8725487137
264	0.8717921431
265	0.8702656767
266	0.869248793
267	0.8683672033
268	0.867921506
269	0.8666249379
270	0.8659610048
271	0.8655834203
272	0.8650382218
273	0.8638503888
274	0.8628643917
275	0.8616276931
276	0.8610886132
277	0.860107283
278	0.859167825
279	0.8582609889
280	0.8577155338
281	0.8572544922
282	0.8568110281
283	0.8557796206
284	0.8549681719
285	0.8537504948
286	0.8531996827
287	0.8526412079
288	0.8520116973
289	0.8514415844
290	0.8511153492
291	0.8505536743
292	0.849996147
293	0.8495971605
294	0.8492506984
295	0.8486820582
296	0.8481481002
297	0.8474384823
298	0.8469255408
299	0.846559375
