iter	Passed	Remaining
0	77	38631
1	126	31561
2	184	30487
3	244	30329
4	308	30587
5	370	30500
6	429	30268
7	490	30180
8	549	29991
9	611	29944
10	672	29896
11	733	29827
12	797	29858
13	858	29817
14	922	29825
15	985	29802
16	1046	29738
17	1108	29684
18	1175	29753
19	1249	29984
20	1319	30093
21	1380	29989
22	1443	29931
23	1505	29851
24	1566	29762
25	1629	29712
26	1693	29665
27	1756	29601
28	1816	29505
29	1879	29440
30	1939	29338
31	2002	29290
32	2072	29322
33	2131	29220
34	2194	29156
35	2258	29106
36	2320	29042
37	2383	28972
38	2451	28978
39	2515	28929
40	2581	28896
41	2643	28824
42	2703	28733
43	2767	28685
44	2832	28641
45	2893	28557
46	2957	28505
47	3022	28464
48	3086	28409
49	3156	28408
50	3220	28349
51	3291	28353
52	3365	28384
53	3430	28333
54	3493	28267
55	3557	28202
56	3619	28127
57	3685	28085
58	3750	28030
59	3814	27970
60	3880	27927
61	3945	27872
62	4007	27798
63	4067	27713
64	4129	27639
65	4188	27545
66	4249	27465
67	4315	27414
68	4378	27348
69	4439	27274
70	4501	27199
71	4564	27134
72	4629	27078
73	4696	27037
74	4761	26983
75	4831	26955
76	4892	26874
77	4957	26820
78	5019	26751
79	5082	26681
80	5144	26613
81	5203	26526
82	5264	26451
83	5323	26363
84	5383	26286
85	5450	26239
86	5521	26208
87	5587	26161
88	5652	26105
89	5716	26042
90	5779	25976
91	5840	25899
92	5900	25821
93	5964	25759
94	6024	25681
95	6086	25614
96	6148	25545
97	6211	25481
98	6272	25408
99	6332	25329
100	6392	25254
101	6454	25184
102	6515	25111
103	6577	25043
104	6637	24971
105	6698	24899
106	6760	24831
107	6823	24766
108	6885	24700
109	6946	24628
110	7006	24555
111	7070	24495
112	7132	24428
113	7198	24372
114	7259	24304
115	7322	24239
116	7385	24177
117	7446	24105
118	7506	24034
119	7569	23970
120	7655	23977
121	7727	23942
122	7808	23933
123	7888	23919
124	7965	23897
125	8032	23842
126	8098	23784
127	8164	23728
128	8237	23689
129	8311	23656
130	8384	23617
131	8449	23556
132	8515	23497
133	8587	23455
134	8653	23397
135	8721	23342
136	8786	23280
137	8847	23209
138	8911	23143
139	8981	23094
140	9048	23039
141	9111	22971
142	9174	22904
143	9245	22856
144	9327	22836
145	9392	22772
146	9456	22708
147	9519	22641
148	9585	22581
149	9652	22521
150	9717	22458
151	9790	22414
152	9861	22365
153	9927	22304
154	9993	22243
155	10057	22177
156	10129	22129
157	10196	22069
158	10259	22003
159	10325	21941
160	10386	21868
161	10448	21800
162	10512	21733
163	10577	21670
164	10641	21605
165	10701	21532
166	10766	21469
167	10835	21413
168	10900	21348
169	10964	21284
170	11029	21220
171	11094	21156
172	11158	21091
173	11234	21048
174	11299	20984
175	11364	20921
176	11432	20863
177	11495	20796
178	11562	20734
179	11626	20669
180	11692	20607
181	11763	20553
182	11828	20490
183	11893	20426
184	11971	20383
185	12042	20329
186	12112	20274
187	12182	20217
188	12250	20157
189	12314	20091
190	12381	20031
191	12446	19966
192	12513	19905
193	12579	19841
194	12653	19791
195	12719	19728
196	12785	19665
197	12848	19597
198	12914	19534
199	12974	19461
200	13036	19392
201	13103	19330
202	13164	19260
203	13225	19189
204	13285	19118
205	13346	19047
206	13408	18978
207	13477	18920
208	13540	18853
209	13600	18781
210	13663	18714
211	13726	18646
212	13788	18579
213	13850	18511
214	13918	18450
215	13981	18383
216	14041	18312
217	14103	18244
218	14167	18177
219	14237	18120
220	14308	18063
221	14374	18000
222	14441	17938
223	14506	17873
224	14571	17809
225	14636	17745
226	14702	17681
227	14766	17615
228	14828	17548
229	14897	17488
230	14960	17421
231	15024	17356
232	15087	17289
233	15158	17231
234	15230	17174
235	15307	17123
236	15372	17058
237	15444	17001
238	15512	16939
239	15579	16878
240	15647	16816
241	15712	16751
242	15791	16701
243	15860	16640
244	15927	16577
245	15994	16514
246	16060	16450
247	16124	16384
248	16190	16320
249	16255	16255
250	16324	16194
251	16394	16134
252	16471	16080
253	16540	16019
254	16613	15962
255	16676	15894
256	16740	15828
257	16802	15760
258	16867	15695
259	16927	15624
260	16992	15560
261	17055	15493
262	17118	15426
263	17182	15360
264	17244	15292
265	17306	15224
266	17370	15158
267	17434	15092
268	17495	15024
269	17557	14956
270	17625	14893
271	17688	14827
272	17756	14764
273	17818	14697
274	17880	14629
275	17939	14559
276	18008	14497
277	18078	14436
278	18145	14373
279	18210	14307
280	18275	14243
281	18343	14180
282	18409	14115
283	18484	14058
284	18554	13997
285	18619	13932
286	18689	13870
287	18758	13808
288	18822	13742
289	18888	13678
290	18949	13609
291	19015	13545
292	19082	13481
293	19144	13413
294	19205	13346
295	19268	13279
296	19332	13213
297	19401	13151
298	19467	13087
299	19536	13024
300	19602	12959
301	19666	12893
302	19738	12833
303	19810	12772
304	19881	12710
305	19950	12648
306	20014	12582
307	20080	12517
308	20145	12452
309	20206	12384
310	20266	12316
311	20326	12248
312	20388	12181
313	20451	12114
314	20511	12046
315	20572	11979
316	20637	11913
317	20710	11853
318	20773	11786
319	20837	11721
320	20901	11655
321	20961	11587
322	21020	11519
323	21080	11450
324	21139	11383
325	21203	11316
326	21265	11250
327	21325	11183
328	21388	11117
329	21452	11051
330	21516	10985
331	21583	10921
332	21650	10857
333	21715	10792
334	21782	10728
335	21851	10665
336	21914	10599
337	21981	10535
338	22055	10474
339	22127	10413
340	22203	10353
341	22287	10296
342	22358	10234
343	22431	10172
344	22511	10113
345	22575	10048
346	22641	9983
347	22710	9919
348	22785	9858
349	22857	9796
350	22922	9730
351	22992	9667
352	23063	9604
353	23133	9541
354	23199	9475
